post_title,post_content,post_status,sku,regular_price,sale_price,stock,image_url
Blue Wireless Headphones,High-quality wireless headphones for an immersive audio experience,publish,WH-001,79.99,59.99,100,https://example.com/headphones1.jpg
Organic Green Tea,Delicious and healthy organic green tea for a refreshing sip,publish,TEA-001,9.99,7.99,200,https://example.com/greentea1.jpg
Fitness Tracker Pro X,Advanced fitness tracker with heart rate monitor and GPS tracking,publish,FT-001,129.99,99.99,50,https://example.com/tracker1.jpg
Stylish Leather Backpack,Fashionable and spacious leather backpack for everyday use,publish,BP-001,89.99,79.99,75,https://example.com/backpack1.jpg
Smart Home Security Camera,Keep your home secure with this smart HD security camera,publish,CAM-001,149.99,129.99,30,https://example.com/camera1.jpg
Premium Stainless Steel Water Bottle,Durable stainless steel water bottle for on-the-go hydration,publish,WB-001,19.99,15.99,120,https://example.com/waterbottle1.jpg
Ultra Light Running Shoes,Comfortable and ultra-light running shoes for your daily jog,publish,SHOES-001,69.99,49.99,80,https://example.com/shoes1.jpg
Digital Alarm Clock with LED Display,Modern digital alarm clock with LED display and snooze function,publish,CLOCK-001,24.99,19.99,60,https://example.com/clock1.jpg
Portable Espresso Maker,Enjoy a cup of espresso anywhere with this portable espresso maker,publish,ESP-001,49.99,39.99,90,https://example.com/espresso1.jpg
Cozy Knit Throw Blanket,Stay warm and cozy with this stylish knit throw blanket,publish,BLANKET-001,34.99,29.99,110,https://example.com/blanket1.jpg
